name,vernacular_fr,rank,tsn,created_at,updated_at
Erynnis propertius,,espèce,706750,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Erynnis zarucco,,espèce,706754,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euchloe ausonides,,espèce,777761,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euchloe creusa,,espèce,777764,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euchloe lotta,,espèce,777766,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euchloe naina,,espèce,777762,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euchloe olympia,olympe,espèce,777763,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphilotes ancilla,,espèce,777912,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphilotes battoides,,espèce,117238,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphydryas chalcedona,,espèce,778054,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphydryas editha,,espèce,201290,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphydryas gillettii,,espèce,778053,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphydryas phaeton,baltimore,espèce,778057,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphyes bimacula,hespérie des marais,espèce,706608,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphyes conspicua,,espèce,777684,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphyes dion,hespérie de dioné,espèce,706610,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphyes dukesi,,espèce,706611,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euphyes vestris,hespérie rurale,espèce,706613,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euptoieta claudia,fritillaire panachée,espèce,777981,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Euptoieta hegesia,,espèce,777982,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
